consulta,categoria,respuesta,respuesta_compuesta,respuestas_compuestas
¿Se puede reembolsar el pago de la matrícula?,matriculas,"Sí, puedes solicitar un reembolso si cancelas dentro del periodo establecido. Requiere carta formal y comprobantes.","Con respecto a tu pregunta sobre se puede reembolsar el pago de la matrícula,, Sí, puedes solicitar un reembolso si cancelas dentro del periodo establecido. Requiere carta formal y comprobantes.","Con respecto a tu pregunta sobre se puede reembolsar el pago de la matrícula,, Sí, puedes solicitar un reembolso si cancelas dentro del periodo establecido. Requiere carta formal y comprobantes."
¿Puedo realizar el pago de matrícula desde el extranjero?,matriculas,"Sí, puedes hacerlo mediante transferencia internacional. Solicita los datos bancarios completos en servicios financieros.","Con respecto a tu pregunta sobre puedo realizar el pago de matrícula desde el extranjero,, Sí, puedes hacerlo mediante transferencia internacional. Solicita los datos bancarios completos en servicios financieros.","Con respecto a tu pregunta sobre puedo realizar el pago de matrícula desde el extranjero,, Sí, puedes hacerlo mediante transferencia internacional. Solicita los datos bancarios completos en servicios financieros."
¿Qué pasa si el banco no reporta mi pago de matrícula?,matriculas,Conserva tu comprobante y dirígete al departamento de finanzas para que se registre manualmente tu pago.,"Lo que necesitas saber sobre pasa si el banco no reporta mi pago de matrícula es, Conserva tu comprobante y dirígete al departamento de finanzas para que se registre manualmente tu pago.","Lo que necesitas saber sobre pasa si el banco no reporta mi pago de matrícula es, Conserva tu comprobante y dirígete al departamento de finanzas para que se registre manualmente tu pago."
¿Cuántas materias debo inscribir como mínimo?,matriculas,Debes inscribir al menos 3 materias por semestre para mantener tu estatus activo como estudiante regular.,"Con respecto a tu pregunta sobre cuántas materias debo inscribir como mínimo,, Debes inscribir al menos 3 materias por semestre para mantener tu estatus activo como estudiante regular.","Con respecto a tu pregunta sobre cuántas materias debo inscribir como mínimo,, Debes inscribir al menos 3 materias por semestre para mantener tu estatus activo como estudiante regular."
¿Qué hacer si el sistema no permite finalizar la inscripción?,matriculas,"Verifica si tienes materias sin prerrequisito o adeudos pendientes. Si todo está en orden, contacta a soporte técnico.","Lo que necesitas saber sobre hacer si el sistema no permite finalizar la inscripción es, Verifica si tienes materias sin prerrequisito o adeudos pendientes. Si todo está en orden, contacta a soporte técnico.","Lo que necesitas saber sobre hacer si el sistema no permite finalizar la inscripción es, Verifica si tienes materias sin prerrequisito o adeudos pendientes. Si todo está en orden, contacta a soporte técnico."
¿La reinscripción aplica también para cursos de verano?,matriculas,"Sí, debes seguir un proceso similar al de semestre regular pero en fechas distintas según el calendario académico.","Con respecto a tu pregunta sobre la reinscripción aplica también para cursos de verano,, Sí, debes seguir un proceso similar al de semestre regular pero en fechas distintas según el calendario académico.","Con respecto a tu pregunta sobre la reinscripción aplica también para cursos de verano,, Sí, debes seguir un proceso similar al de semestre regular pero en fechas distintas según el calendario académico."
¿Cuándo puedo solicitar carga académica adicional?,matriculas,Puedes solicitar carga académica adicional al inicio del semestre si cuentas con un promedio superior a 4.3 y no tienes materias reprobadas. El trámite debe hacerse ante coordinación académica con autorización firmada.,"El momento indicado para puedo solicitar carga académica adicional es, Puedes solicitar carga académica adicional al inicio del semestre si cuentas con un promedio superior a 4.3 y no tienes materias reprobadas. El trámite debe hacerse ante coordinación académica con autorización firmada.","El momento indicado para puedo solicitar carga académica adicional es, Puedes solicitar carga académica adicional al inicio del semestre si cuentas con un promedio superior a 4.3 y no tienes materias reprobadas. El trámite debe hacerse ante coordinación académica con autorización firmada."
¿Cómo verificar si una materia tiene cupo disponible?,matriculas,"Durante la inscripción, el sistema muestra el número de cupos por grupo. También puedes consultarlo en el aula virtual.","Para verificar si una materia tiene cupo disponible, Durante la inscripción, el sistema muestra el número de cupos por grupo. También puedes consultarlo en el aula virtual.","Cómo verificar si una materia tiene cupo disponible, Durante la inscripción, el sistema muestra el número de cupos por grupo. También puedes consultarlo en el aula virtual."
¿Cómo consulto si una clase tiene horario actualizado?,horarios,Revisa tu horario en el portal estudiantil. Las actualizaciones se reflejan ahí y se notifican por correo.,"Para consulto si una clase tiene horario actualizado, Revisa tu horario en el portal estudiantil. Las actualizaciones se reflejan ahí y se notifican por correo.","Cómo consulto si una clase tiene horario actualizado, Revisa tu horario en el portal estudiantil. Las actualizaciones se reflejan ahí y se notifican por correo."
¿Puedo inscribirme a clases del fin de semana?,horarios,"Sí, hay materias disponibles los sábados. Verifica en la oferta académica al momento de inscribirte.","Con respecto a tu pregunta sobre puedo inscribirme a clases del fin de semana,, Sí, hay materias disponibles los sábados. Verifica en la oferta académica al momento de inscribirte.","Con respecto a tu pregunta sobre puedo inscribirme a clases del fin de semana,, Sí, hay materias disponibles los sábados. Verifica en la oferta académica al momento de inscribirte."
¿Qué pasa si mi clase coincide con una actividad institucional?,horarios,Puedes solicitar justificación en coordinación académica y reprogramar tu clase si es necesario.,"Lo que necesitas saber sobre pasa si mi clase coincide con una actividad institucional es, Puedes solicitar justificación en coordinación académica y reprogramar tu clase si es necesario.","Lo que necesitas saber sobre pasa si mi clase coincide con una actividad institucional es, Puedes solicitar justificación en coordinación académica y reprogramar tu clase si es necesario."
¿Qué horario tienen las clases intensivas de verano?,horarios,Generalmente son de lunes a viernes de 8:00 a.m. a 12:00 p.m. Consulta tu facultad para casos específicos.,"Lo que necesitas saber sobre horario tienen las clases intensivas de verano es, Generalmente son de lunes a viernes de 8:00 a.m. a 12:00 p.m. Consulta tu facultad para casos específicos.","Lo que necesitas saber sobre horario tienen las clases intensivas de verano es, Generalmente son de lunes a viernes de 8:00 a.m. a 12:00 p.m. Consulta tu facultad para casos específicos."
¿Las clases virtuales pueden cambiar de horario?,horarios,"Sí, si el grupo y el docente están de acuerdo. Cualquier cambio debe registrarse formalmente.","Con respecto a tu pregunta sobre las clases virtuales pueden cambiar de horario,, Sí, si el grupo y el docente están de acuerdo. Cualquier cambio debe registrarse formalmente.","Con respecto a tu pregunta sobre las clases virtuales pueden cambiar de horario,, Sí, si el grupo y el docente están de acuerdo. Cualquier cambio debe registrarse formalmente."
¿Puedo cambiar de grupo si el horario me genera conflicto?,horarios,"Sí, puedes solicitar el cambio durante la primera semana de clases, sujeto a disponibilidad de cupo.","Con respecto a tu pregunta sobre puedo cambiar de grupo si el horario me genera conflicto,, Sí, puedes solicitar el cambio durante la primera semana de clases, sujeto a disponibilidad de cupo.","Con respecto a tu pregunta sobre puedo cambiar de grupo si el horario me genera conflicto,, Sí, puedes solicitar el cambio durante la primera semana de clases, sujeto a disponibilidad de cupo."
¿Dónde se publican los cambios de horario?,horarios,Los cambios oficiales se publican en el portal estudiantil y se notifican también por correo institucional.,"Puedes hacerlo en el lugar donde, Los cambios oficiales se publican en el portal estudiantil y se notifican también por correo institucional.","Puedes realizarlo en el lugar donde, Los cambios oficiales se publican en el portal estudiantil y se notifican también por correo institucional."
¿Qué pasa si un docente no asiste varias veces?,horarios,Informa a coordinación académica. Podrán reasignarte a otro grupo o ajustar el calendario de la clase.,"Lo que necesitas saber sobre pasa si un docente no asiste varias veces es, Informa a coordinación académica. Podrán reasignarte a otro grupo o ajustar el calendario de la clase.","Lo que necesitas saber sobre pasa si un docente no asiste varias veces es, Informa a coordinación académica. Podrán reasignarte a otro grupo o ajustar el calendario de la clase."
¿Cuándo se actualiza el horario definitivo del semestre?,horarios,"Durante la primera semana de clases, después de los ajustes por cambios de grupo o cancelaciones.","El momento indicado para se actualiza el horario definitivo del semestre es, Durante la primera semana de clases, después de los ajustes por cambios de grupo o cancelaciones.","El momento indicado para se actualiza el horario definitivo del semestre es, Durante la primera semana de clases, después de los ajustes por cambios de grupo o cancelaciones."
¿Qué hacer si dos clases que deseo inscribir se traslapan?,horarios,Debes elegir una de las dos o buscar un grupo alternativo para evitar conflictos en el horario.,"Lo que necesitas saber sobre hacer si dos clases que deseo inscribir se traslapan es, Debes elegir una de las dos o buscar un grupo alternativo para evitar conflictos en el horario.","Lo que necesitas saber sobre hacer si dos clases que deseo inscribir se traslapan es, Debes elegir una de las dos o buscar un grupo alternativo para evitar conflictos en el horario."
¿Cómo saber si mi inscripción tiene errores?,matriculas,"Debes revisar tu horario completo en el portal estudiantil. Si hay materias duplicadas o ausentes, repórtalo a servicios escolares.","Para saber si mi inscripción tiene errores, Debes revisar tu horario completo en el portal estudiantil. Si hay materias duplicadas o ausentes, repórtalo a servicios escolares.","Cómo saber si mi inscripción tiene errores, Debes revisar tu horario completo en el portal estudiantil. Si hay materias duplicadas o ausentes, repórtalo a servicios escolares."
¿Qué hacer si me equivoqué en el orden de inscripción?,matriculas,Puedes solicitar un ajuste dentro del periodo de modificaciones. Acude a coordinación académica lo antes posible.,"Lo que necesitas saber sobre hacer si me equivoqué en el orden de inscripción es, Puedes solicitar un ajuste dentro del periodo de modificaciones. Acude a coordinación académica lo antes posible.","Lo que necesitas saber sobre hacer si me equivoqué en el orden de inscripción es, Puedes solicitar un ajuste dentro del periodo de modificaciones. Acude a coordinación académica lo antes posible."
¿Es posible hacer la inscripción con ayuda de un tutor?,matriculas,"Sí, si eres estudiante de primer ingreso puedes solicitar acompañamiento del tutor académico durante tu inscripción.","Con respecto a tu pregunta sobre es posible hacer la inscripción con ayuda de un tutor,, Sí, si eres estudiante de primer ingreso puedes solicitar acompañamiento del tutor académico durante tu inscripción.","Con respecto a tu pregunta sobre es posible hacer la inscripción con ayuda de un tutor,, Sí, si eres estudiante de primer ingreso puedes solicitar acompañamiento del tutor académico durante tu inscripción."
¿Qué pasa si inscribo una materia sin haber cursado el prerrequisito?,matriculas,El sistema no lo permitirá. Deberás cursar primero el prerrequisito y luego podrás inscribir la materia avanzada.,"Lo que necesitas saber sobre pasa si inscribo una materia sin haber cursado el prerrequisito es, El sistema no lo permitirá. Deberás cursar primero el prerrequisito y luego podrás inscribir la materia avanzada.","Lo que necesitas saber sobre pasa si inscribo una materia sin haber cursado el prerrequisito es, El sistema no lo permitirá. Deberás cursar primero el prerrequisito y luego podrás inscribir la materia avanzada."
¿Puedo eliminar materias después de pagar?,matriculas,"Sí, durante la primera semana puedes solicitar ajuste. El reembolso está sujeto a las políticas de devolución institucional.","Con respecto a tu pregunta sobre puedo eliminar materias después de pagar,, Sí, durante la primera semana puedes solicitar ajuste. El reembolso está sujeto a las políticas de devolución institucional.","Con respecto a tu pregunta sobre puedo eliminar materias después de pagar,, Sí, durante la primera semana puedes solicitar ajuste. El reembolso está sujeto a las políticas de devolución institucional."
¿Dónde solicito inscripción condicional?,matriculas,La inscripción condicional debe tramitarse en coordinación académica y requiere una justificación válida aprobada por el comité de carrera.,"Puedes hacerlo en el lugar donde, La inscripción condicional debe tramitarse en coordinación académica y requiere una justificación válida aprobada por el comité de carrera.","Puedes realizarlo en el lugar donde, La inscripción condicional debe tramitarse en coordinación académica y requiere una justificación válida aprobada por el comité de carrera."
¿Puedo cambiar mi modalidad de estudio al inscribirme?,matriculas,"Sí, puedes cambiar de presencial a virtual o viceversa si hay cupo disponible. Solicítalo al momento de la inscripción.","Con respecto a tu pregunta sobre puedo cambiar mi modalidad de estudio al inscribirme,, Sí, puedes cambiar de presencial a virtual o viceversa si hay cupo disponible. Solicítalo al momento de la inscripción.","Con respecto a tu pregunta sobre puedo cambiar mi modalidad de estudio al inscribirme,, Sí, puedes cambiar de presencial a virtual o viceversa si hay cupo disponible. Solicítalo al momento de la inscripción."
¿Cómo saber si ya estoy inscrito oficialmente?,matriculas,"Cuando finalices tu proceso y recibas el comprobante de inscripción por correo institucional, estarás oficialmente inscrito.","Para saber si ya estoy inscrito oficialmente, Cuando finalices tu proceso y recibas el comprobante de inscripción por correo institucional, estarás oficialmente inscrito.","Cómo saber si ya estoy inscrito oficialmente, Cuando finalices tu proceso y recibas el comprobante de inscripción por correo institucional, estarás oficialmente inscrito."
¿Qué pasa si olvido realizar la inscripción?,matriculas,Tu estatus quedará como baja temporal. Deberás hacer un trámite de reincorporación para el próximo semestre.,"Lo que necesitas saber sobre pasa si olvido realizar la inscripción es, Tu estatus quedará como baja temporal. Deberás hacer un trámite de reincorporación para el próximo semestre.","Lo que necesitas saber sobre pasa si olvido realizar la inscripción es, Tu estatus quedará como baja temporal. Deberás hacer un trámite de reincorporación para el próximo semestre."
¿Cuál es el plazo para modificar materias inscritas?,matriculas,Puedes hacer modificaciones durante la primera semana del semestre desde el portal o con autorización de coordinación.,"La el plazo para modificar materias inscritas es, Puedes hacer modificaciones durante la primera semana del semestre desde el portal o con autorización de coordinación.","La el plazo para modificar materias inscritas es, Puedes hacer modificaciones durante la primera semana del semestre desde el portal o con autorización de coordinación."
¿Es obligatorio inscribir materias optativas?,matriculas,"Sí, forman parte del plan de estudios. Debes cumplir con el número mínimo de créditos optativos exigido por tu programa.","Con respecto a tu pregunta sobre es obligatorio inscribir materias optativas,, Sí, forman parte del plan de estudios. Debes cumplir con el número mínimo de créditos optativos exigido por tu programa.","Con respecto a tu pregunta sobre es obligatorio inscribir materias optativas,, Sí, forman parte del plan de estudios. Debes cumplir con el número mínimo de créditos optativos exigido por tu programa."
¿Dónde encuentro el calendario oficial de inscripción?,matriculas,Está disponible en el portal institucional y se publica también en las redes oficiales de la universidad.,"Puedes hacerlo en el lugar donde, Está disponible en el portal institucional y se publica también en las redes oficiales de la universidad.","Puedes realizarlo en el lugar donde, Está disponible en el portal institucional y se publica también en las redes oficiales de la universidad."
¿Qué hacer si el sistema no carga al intentar inscribirme?,matriculas,"Prueba con otro navegador. Si persiste, toma captura de pantalla y contacta a soporte técnico institucional.","Lo que necesitas saber sobre hacer si el sistema no carga al intentar inscribirme es, Prueba con otro navegador. Si persiste, toma captura de pantalla y contacta a soporte técnico institucional.","Lo que necesitas saber sobre hacer si el sistema no carga al intentar inscribirme es, Prueba con otro navegador. Si persiste, toma captura de pantalla y contacta a soporte técnico institucional."
¿La inscripción incluye el seguro estudiantil?,matriculas,"Sí, el valor del seguro está incluido en el monto total de inscripción. Consulta la póliza en el portal de servicios escolares.","Con respecto a tu pregunta sobre la inscripción incluye el seguro estudiantil,, Sí, el valor del seguro está incluido en el monto total de inscripción. Consulta la póliza en el portal de servicios escolares.","Con respecto a tu pregunta sobre la inscripción incluye el seguro estudiantil,, Sí, el valor del seguro está incluido en el monto total de inscripción. Consulta la póliza en el portal de servicios escolares."
¿Puedo reservar materias para el próximo semestre?,matriculas,"No, solo puedes inscribir materias en el periodo actual. Las reservas no están habilitadas en el sistema.","Con respecto a tu pregunta sobre puedo reservar materias para el próximo semestre,, No, solo puedes inscribir materias en el periodo actual. Las reservas no están habilitadas en el sistema.","Con respecto a tu pregunta sobre puedo reservar materias para el próximo semestre,, No, solo puedes inscribir materias en el periodo actual. Las reservas no están habilitadas en el sistema."
¿Cómo recupero una inscripción cancelada por error?,matriculas,Debes solicitar la reactivación en servicios escolares. Presenta tu comprobante de intento y carta explicativa.,"Para recupero una inscripción cancelada por error, Debes solicitar la reactivación en servicios escolares. Presenta tu comprobante de intento y carta explicativa.","Cómo recupero una inscripción cancelada por error, Debes solicitar la reactivación en servicios escolares. Presenta tu comprobante de intento y carta explicativa."
¿Puedo inscribirme en prácticas profesionales durante el semestre?,matriculas,"Sí, siempre que estén programadas y aprobadas por tu tutor. Se inscriben como una materia adicional.","Con respecto a tu pregunta sobre puedo inscribirme en prácticas profesionales durante el semestre,, Sí, siempre que estén programadas y aprobadas por tu tutor. Se inscriben como una materia adicional.","Con respecto a tu pregunta sobre puedo inscribirme en prácticas profesionales durante el semestre,, Sí, siempre que estén programadas y aprobadas por tu tutor. Se inscriben como una materia adicional."
¿Es necesario firmar un acta de inscripción?,matriculas,"Sí, al finalizar el proceso debes firmar electrónicamente el acta digital que aparece en el portal estudiantil.","Con respecto a tu pregunta sobre es necesario firmar un acta de inscripción,, Sí, al finalizar el proceso debes firmar electrónicamente el acta digital que aparece en el portal estudiantil.","Con respecto a tu pregunta sobre es necesario firmar un acta de inscripción,, Sí, al finalizar el proceso debes firmar electrónicamente el acta digital que aparece en el portal estudiantil."
¿Qué hacer si aparece una materia que no inscribí?,matriculas,Debes reportarlo a tu facultad inmediatamente para evitar responsabilidades académicas no deseadas.,"Lo que necesitas saber sobre hacer si aparece una materia que no inscribí es, Debes reportarlo a tu facultad inmediatamente para evitar responsabilidades académicas no deseadas.","Lo que necesitas saber sobre hacer si aparece una materia que no inscribí es, Debes reportarlo a tu facultad inmediatamente para evitar responsabilidades académicas no deseadas."
¿Puedo inscribirme si aún no tengo mi cédula?,matriculas,"Sí, puedes usar otro documento válido como pasaporte o tarjeta de identidad. Actualiza luego tu información.","Con respecto a tu pregunta sobre puedo inscribirme si aún no tengo mi cédula,, Sí, puedes usar otro documento válido como pasaporte o tarjeta de identidad. Actualiza luego tu información.","Con respecto a tu pregunta sobre puedo inscribirme si aún no tengo mi cédula,, Sí, puedes usar otro documento válido como pasaporte o tarjeta de identidad. Actualiza luego tu información."
¿Cómo saber si cumplí con la carga mínima de créditos?,matriculas,El sistema te muestra un aviso si no alcanzas el mínimo. Asegúrate de inscribir suficientes materias.,"Para saber si cumplí con la carga mínima de créditos, El sistema te muestra un aviso si no alcanzas el mínimo. Asegúrate de inscribir suficientes materias.","Cómo saber si cumplí con la carga mínima de créditos, El sistema te muestra un aviso si no alcanzas el mínimo. Asegúrate de inscribir suficientes materias."
¿Qué materias debo priorizar en la inscripción?,matriculas,"Las reprobadas, los prerrequisitos y las correspondientes a tu semestre actual deben ser prioridad.","Lo que necesitas saber sobre materias debo priorizar en la inscripción es, Las reprobadas, los prerrequisitos y las correspondientes a tu semestre actual deben ser prioridad.","Lo que necesitas saber sobre materias debo priorizar en la inscripción es, Las reprobadas, los prerrequisitos y las correspondientes a tu semestre actual deben ser prioridad."
¿Puedo tomar materias de otra carrera?,matriculas,"Sí, si están abiertas como electivas generales. Consulta si hay cupo y si el docente lo autoriza.","Con respecto a tu pregunta sobre puedo tomar materias de otra carrera,, Sí, si están abiertas como electivas generales. Consulta si hay cupo y si el docente lo autoriza.","Con respecto a tu pregunta sobre puedo tomar materias de otra carrera,, Sí, si están abiertas como electivas generales. Consulta si hay cupo y si el docente lo autoriza."
¿Qué sucede si curso más créditos de los permitidos?,matriculas,El sistema no lo permite automáticamente. Solo con autorización especial puedes sobrecargar tu inscripción.,"Lo que necesitas saber sobre sucede si curso más créditos de los permitidos es, El sistema no lo permite automáticamente. Solo con autorización especial puedes sobrecargar tu inscripción.","Lo que necesitas saber sobre sucede si curso más créditos de los permitidos es, El sistema no lo permite automáticamente. Solo con autorización especial puedes sobrecargar tu inscripción."
¿Cuándo debo firmar el formato de inscripción?,matriculas,"Inmediatamente después de finalizar la selección de materias, en la plataforma institucional.","El momento indicado para debo firmar el formato de inscripción es, Inmediatamente después de finalizar la selección de materias, en la plataforma institucional.","El momento indicado para debo firmar el formato de inscripción es, Inmediatamente después de finalizar la selección de materias, en la plataforma institucional."
¿Puedo ver mi horario desde el celular?,horarios,"Sí, accede al portal estudiantil desde cualquier navegador móvil. Asegúrate de estar en versión actualizada.","Con respecto a tu pregunta sobre puedo ver mi horario desde el celular,, Sí, accede al portal estudiantil desde cualquier navegador móvil. Asegúrate de estar en versión actualizada.","Con respecto a tu pregunta sobre puedo ver mi horario desde el celular,, Sí, accede al portal estudiantil desde cualquier navegador móvil. Asegúrate de estar en versión actualizada."
¿Qué hago si el horario se actualiza sin aviso?,horarios,Revisa el portal regularmente y activa notificaciones. También puedes consultar directamente a tu coordinación.,"Lo que necesitas saber sobre hago si el horario se actualiza sin aviso es, Revisa el portal regularmente y activa notificaciones. También puedes consultar directamente a tu coordinación.","Lo que necesitas saber sobre hago si el horario se actualiza sin aviso es, Revisa el portal regularmente y activa notificaciones. También puedes consultar directamente a tu coordinación."
¿El horario puede cambiar después del primer día?,horarios,"Sí, puede ajustarse por razones logísticas o por cambios de grupo. Confírmalo en tu facultad.","Con respecto a tu pregunta sobre el horario puede cambiar después del primer día,, Sí, puede ajustarse por razones logísticas o por cambios de grupo. Confírmalo en tu facultad.","Con respecto a tu pregunta sobre el horario puede cambiar después del primer día,, Sí, puede ajustarse por razones logísticas o por cambios de grupo. Confírmalo en tu facultad."
¿Hay un horario específico para tutorías?,horarios,"Sí, cada docente publica su horario de tutorías al inicio del semestre en el aula virtual.","Con respecto a tu pregunta sobre hay un horario específico para tutorías,, Sí, cada docente publica su horario de tutorías al inicio del semestre en el aula virtual.","Con respecto a tu pregunta sobre hay un horario específico para tutorías,, Sí, cada docente publica su horario de tutorías al inicio del semestre en el aula virtual."
¿Puedo cambiar de turno si se libera un cupo?,horarios,"Sí, solicita el cambio en coordinación académica. Se otorga por orden de solicitud y disponibilidad.","Con respecto a tu pregunta sobre puedo cambiar de turno si se libera un cupo,, Sí, solicita el cambio en coordinación académica. Se otorga por orden de solicitud y disponibilidad.","Con respecto a tu pregunta sobre puedo cambiar de turno si se libera un cupo,, Sí, solicita el cambio en coordinación académica. Se otorga por orden de solicitud y disponibilidad."
¿Los talleres extracurriculares afectan el horario regular?,horarios,"No, están programados fuera del horario de clases para evitar conflictos académicos.","Con respecto a tu pregunta sobre los talleres extracurriculares afectan el horario regular,, No, están programados fuera del horario de clases para evitar conflictos académicos.","Con respecto a tu pregunta sobre los talleres extracurriculares afectan el horario regular,, No, están programados fuera del horario de clases para evitar conflictos académicos."
¿Cómo gestiono un horario personalizado?,horarios,Planifica tus materias en el simulador de horario disponible en el portal antes de confirmar inscripción.,"Para gestiono un horario personalizado, Planifica tus materias en el simulador de horario disponible en el portal antes de confirmar inscripción.","Cómo gestiono un horario personalizado, Planifica tus materias en el simulador de horario disponible en el portal antes de confirmar inscripción."
¿Qué pasa si mi clase se cruza con otra obligatoria?,horarios,Solicita a tu coordinación un reacomodo o inscripción condicional con justificación académica.,"Lo que necesitas saber sobre pasa si mi clase se cruza con otra obligatoria es, Solicita a tu coordinación un reacomodo o inscripción condicional con justificación académica.","Lo que necesitas saber sobre pasa si mi clase se cruza con otra obligatoria es, Solicita a tu coordinación un reacomodo o inscripción condicional con justificación académica."
¿El horario incluye actividades deportivas?,horarios,"No, esas se programan aparte y son voluntarias. Consulta su calendario en la unidad de deportes.","Con respecto a tu pregunta sobre el horario incluye actividades deportivas,, No, esas se programan aparte y son voluntarias. Consulta su calendario en la unidad de deportes.","Con respecto a tu pregunta sobre el horario incluye actividades deportivas,, No, esas se programan aparte y son voluntarias. Consulta su calendario en la unidad de deportes."
¿Cuándo puedo solicitar ajustes por motivos personales?,horarios,Durante la semana de ajustes puedes pedir cambios por razones personales con carta justificativa.,"El momento indicado para puedo solicitar ajustes por motivos personales es, Durante la semana de ajustes puedes pedir cambios por razones personales con carta justificativa.","El momento indicado para puedo solicitar ajustes por motivos personales es, Durante la semana de ajustes puedes pedir cambios por razones personales con carta justificativa."
¿Cómo acceder al horario desde el correo institucional?,horarios,Accede al portal con tu cuenta institucional y entra a la sección 'Mi horario'.,"Para acceder al horario desde el correo institucional, Accede al portal con tu cuenta institucional y entra a la sección 'Mi horario'.","Cómo acceder al horario desde el correo institucional, Accede al portal con tu cuenta institucional y entra a la sección 'Mi horario'."
¿Puedo combinar clases presenciales y virtuales?,horarios,"Sí, si hay oferta híbrida. El sistema te permite combinar ambas si los horarios no se traslapan.","Con respecto a tu pregunta sobre puedo combinar clases presenciales y virtuales,, Sí, si hay oferta híbrida. El sistema te permite combinar ambas si los horarios no se traslapan.","Con respecto a tu pregunta sobre puedo combinar clases presenciales y virtuales,, Sí, si hay oferta híbrida. El sistema te permite combinar ambas si los horarios no se traslapan."
¿Qué hacer si dos clases comienzan al mismo tiempo?,horarios,Debes inscribirte solo a una. Consulta si el otro grupo tiene horario alterno disponible.,"Lo que necesitas saber sobre hacer si dos clases comienzan al mismo tiempo es, Debes inscribirte solo a una. Consulta si el otro grupo tiene horario alterno disponible.","Lo que necesitas saber sobre hacer si dos clases comienzan al mismo tiempo es, Debes inscribirte solo a una. Consulta si el otro grupo tiene horario alterno disponible."
¿Cuántas horas semanales debo cumplir?,horarios,Depende de tu carga académica. Un semestre típico tiene entre 18 y 24 horas de clase semanales.,"Con respecto a tu pregunta sobre cuántas horas semanales debo cumplir,, Depende de tu carga académica. Un semestre típico tiene entre 18 y 24 horas de clase semanales.","Con respecto a tu pregunta sobre cuántas horas semanales debo cumplir,, Depende de tu carga académica. Un semestre típico tiene entre 18 y 24 horas de clase semanales."
¿El sistema avisa de traslapes de horario?,horarios,"Sí, al momento de inscribir materias el sistema marca en rojo cualquier conflicto de horario.","Con respecto a tu pregunta sobre el sistema avisa de traslapes de horario,, Sí, al momento de inscribir materias el sistema marca en rojo cualquier conflicto de horario.","Con respecto a tu pregunta sobre el sistema avisa de traslapes de horario,, Sí, al momento de inscribir materias el sistema marca en rojo cualquier conflicto de horario."
¿Hay horarios flexibles para estudiantes deportistas?,horarios,"Sí, pueden solicitar horarios adaptados si presentan constancia oficial del área de deportes.","Con respecto a tu pregunta sobre hay horarios flexibles para estudiantes deportistas,, Sí, pueden solicitar horarios adaptados si presentan constancia oficial del área de deportes.","Con respecto a tu pregunta sobre hay horarios flexibles para estudiantes deportistas,, Sí, pueden solicitar horarios adaptados si presentan constancia oficial del área de deportes."
¿Qué pasa si mi clase cambia de aula sin notificación?,horarios,Consulta en el aula virtual o tu correo. También puedes preguntar directamente en la facultad.,"Lo que necesitas saber sobre pasa si mi clase cambia de aula sin notificación es, Consulta en el aula virtual o tu correo. También puedes preguntar directamente en la facultad.","Lo que necesitas saber sobre pasa si mi clase cambia de aula sin notificación es, Consulta en el aula virtual o tu correo. También puedes preguntar directamente en la facultad."
¿Puedo modificar mi horario sin perder materias?,horarios,"Sí, durante la semana de ajustes puedes reacomodar tus grupos sin perder inscripción.","Con respecto a tu pregunta sobre puedo modificar mi horario sin perder materias,, Sí, durante la semana de ajustes puedes reacomodar tus grupos sin perder inscripción.","Con respecto a tu pregunta sobre puedo modificar mi horario sin perder materias,, Sí, durante la semana de ajustes puedes reacomodar tus grupos sin perder inscripción."
¿Cómo consulto mi horario si no tengo internet?,horarios,Puedes solicitar una impresión física en coordinación académica o en servicios escolares.,"Para consulto mi horario si no tengo internet, Puedes solicitar una impresión física en coordinación académica o en servicios escolares.","Cómo consulto mi horario si no tengo internet, Puedes solicitar una impresión física en coordinación académica o en servicios escolares."
¿Cómo afecta el cambio de horario a mis prácticas?,horarios,Debes avisar a tu tutor para reorganizar tu horario de prácticas y evitar conflictos.,"Para afecta el cambio de horario a mis prácticas, Debes avisar a tu tutor para reorganizar tu horario de prácticas y evitar conflictos.","Cómo afecta el cambio de horario a mis prácticas, Debes avisar a tu tutor para reorganizar tu horario de prácticas y evitar conflictos."
¿Cómo se asignan los grupos por horario?,horarios,El sistema asigna automáticamente según la disponibilidad y preferencia registrada en la inscripción.,"Para se asignan los grupos por horario, El sistema asigna automáticamente según la disponibilidad y preferencia registrada en la inscripción.","Cómo se asignan los grupos por horario, El sistema asigna automáticamente según la disponibilidad y preferencia registrada en la inscripción."
¿Puedo tomar una clase más tarde por razones de transporte?,horarios,"Sí, puedes justificarlo y cambiar a un grupo con horario compatible si hay cupo.","Con respecto a tu pregunta sobre puedo tomar una clase más tarde por razones de transporte,, Sí, puedes justificarlo y cambiar a un grupo con horario compatible si hay cupo.","Con respecto a tu pregunta sobre puedo tomar una clase más tarde por razones de transporte,, Sí, puedes justificarlo y cambiar a un grupo con horario compatible si hay cupo."
¿Dónde consulto el horario de eventos institucionales?,horarios,En el calendario del portal institucional y las redes oficiales de la universidad.,"Puedes hacerlo en el lugar donde, En el calendario del portal institucional y las redes oficiales de la universidad.","Puedes realizarlo en el lugar donde, En el calendario del portal institucional y las redes oficiales de la universidad."
