consulta,categoria,respuesta,respuestas_compuestas,consulta_
¿Qué pasa si tengo varias notas incompletas?,calificaciones,"Debes hablar con cada docente para acordar cómo y cuándo completarlas. Si no se resuelven, pueden convertirse en notas reprobadas.","¿Qué pasa si tengo varias notas incompletas? Debes hablar con cada docente para acordar cómo y cuándo completarlas. Si no se resuelven, pueden convertirse en notas reprobadas.",¿Qué pasa si tengo varias notas incompletas? calificaciones
¿Cuántos puntos necesito para pasar si repruebo el primer parcial?,calificaciones,Depende del esquema de evaluación del curso. Consulta con tu profesor cómo se distribuyen los porcentajes restantes.,¿Cuántos puntos necesito para pasar si repruebo el primer parcial? Depende del esquema de evaluación del curso. Consulta con tu profesor cómo se distribuyen los porcentajes restantes.,¿Cuántos puntos necesito para pasar si repruebo el primer parcial? calificaciones
¿Dónde puedo ver las estadísticas de rendimiento por materia?,calificaciones,Algunas facultades publican reportes semestrales. Puedes solicitarlos también en coordinación académica o por correo institucional.,¿Dónde puedo ver las estadísticas de rendimiento por materia? Algunas facultades publican reportes semestrales. Puedes solicitarlos también en coordinación académica o por correo institucional.,¿Dónde puedo ver las estadísticas de rendimiento por materia? calificaciones
¿Qué hacer si hay error en una nota publicada?,calificaciones,"Reporta el error inmediatamente a tu docente. Si no se corrige, solicita revisión formal en tu facultad.","¿Qué hacer si hay error en una nota publicada? Reporta el error inmediatamente a tu docente. Si no se corrige, solicita revisión formal en tu facultad.",¿Qué hacer si hay error en una nota publicada? calificaciones
¿Las calificaciones afectan mi promedio general inmediatamente?,calificaciones,"Sí, una vez publicadas en el sistema institucional, las notas se reflejan automáticamente en tu promedio académico.","¿Las calificaciones afectan mi promedio general inmediatamente? Sí, una vez publicadas en el sistema institucional, las notas se reflejan automáticamente en tu promedio académico.",¿Las calificaciones afectan mi promedio general inmediatamente? calificaciones
¿Qué requisitos debo cumplir para una inscripción extemporánea?,matriculas,Debes presentar una carta justificando el motivo del retraso y pagar el recargo por inscripción fuera de plazo.,¿Qué requisitos debo cumplir para una inscripción extemporánea? Debes presentar una carta justificando el motivo del retraso y pagar el recargo por inscripción fuera de plazo.,¿Qué requisitos debo cumplir para una inscripción extemporánea? matriculas
¿Cómo puedo confirmar que mi inscripción fue exitosa?,matriculas,Verifica en el portal estudiantil que todas tus materias aparecen como 'registradas' y revisa tu correo para la confirmación oficial.,¿Cómo puedo confirmar que mi inscripción fue exitosa? Verifica en el portal estudiantil que todas tus materias aparecen como 'registradas' y revisa tu correo para la confirmación oficial.,¿Cómo puedo confirmar que mi inscripción fue exitosa? matriculas
¿Se puede reembolsar el pago de la matrícula?,matriculas,"Sí, puedes solicitar un reembolso si cancelas dentro del periodo establecido. Requiere carta formal y comprobantes.","¿Se puede reembolsar el pago de la matrícula? Sí, puedes solicitar un reembolso si cancelas dentro del periodo establecido. Requiere carta formal y comprobantes.",¿Se puede reembolsar el pago de la matrícula? matriculas
¿Puedo realizar el pago de matrícula desde el extranjero?,matriculas,"Sí, puedes hacerlo mediante transferencia internacional. Solicita los datos bancarios completos en servicios financieros.","¿Puedo realizar el pago de matrícula desde el extranjero? Sí, puedes hacerlo mediante transferencia internacional. Solicita los datos bancarios completos en servicios financieros.",¿Puedo realizar el pago de matrícula desde el extranjero? matriculas
¿Qué pasa si el banco no reporta mi pago de matrícula?,matriculas,Conserva tu comprobante y dirígete al departamento de finanzas para que se registre manualmente tu pago.,¿Qué pasa si el banco no reporta mi pago de matrícula? Conserva tu comprobante y dirígete al departamento de finanzas para que se registre manualmente tu pago.,¿Qué pasa si el banco no reporta mi pago de matrícula? matriculas
¿Cuántas materias debo inscribir como mínimo?,matriculas,Debes inscribir al menos 3 materias por semestre para mantener tu estatus activo como estudiante regular.,¿Cuántas materias debo inscribir como mínimo? Debes inscribir al menos 3 materias por semestre para mantener tu estatus activo como estudiante regular.,¿Cuántas materias debo inscribir como mínimo? matriculas
¿Qué hacer si el sistema no permite finalizar la inscripción?,matriculas,"Verifica si tienes materias sin prerrequisito o adeudos pendientes. Si todo está en orden, contacta a soporte técnico.","¿Qué hacer si el sistema no permite finalizar la inscripción? Verifica si tienes materias sin prerrequisito o adeudos pendientes. Si todo está en orden, contacta a soporte técnico.",¿Qué hacer si el sistema no permite finalizar la inscripción? matriculas
¿La reinscripción aplica también para cursos de verano?,matriculas,"Sí, debes seguir un proceso similar al de semestre regular pero en fechas distintas según el calendario académico.","¿La reinscripción aplica también para cursos de verano? Sí, debes seguir un proceso similar al de semestre regular pero en fechas distintas según el calendario académico.",¿La reinscripción aplica también para cursos de verano? matriculas
¿Cuándo puedo solicitar carga académica adicional?,matriculas,Puedes solicitar carga académica adicional al inicio del semestre si cuentas con un promedio superior a 4.3 y no tienes materias reprobadas. El trámite debe hacerse ante coordinación académica con autorización firmada.,¿Cuándo puedo solicitar carga académica adicional? Puedes solicitar carga académica adicional al inicio del semestre si cuentas con un promedio superior a 4.3 y no tienes materias reprobadas. El trámite debe hacerse ante coordinación académica con autorización firmada.,¿Cuándo puedo solicitar carga académica adicional? matriculas
¿Cómo verificar si una materia tiene cupo disponible?,matriculas,"Durante la inscripción, el sistema muestra el número de cupos por grupo. También puedes consultarlo en el aula virtual.","¿Cómo verificar si una materia tiene cupo disponible? Durante la inscripción, el sistema muestra el número de cupos por grupo. También puedes consultarlo en el aula virtual.",¿Cómo verificar si una materia tiene cupo disponible? matriculas
¿Cómo consulto si una clase tiene horario actualizado?,horarios,Revisa tu horario en el portal estudiantil. Las actualizaciones se reflejan ahí y se notifican por correo.,¿Cómo consulto si una clase tiene horario actualizado? Revisa tu horario en el portal estudiantil. Las actualizaciones se reflejan ahí y se notifican por correo.,¿Cómo consulto si una clase tiene horario actualizado? horarios
¿Puedo inscribirme a clases del fin de semana?,horarios,"Sí, hay materias disponibles los sábados. Verifica en la oferta académica al momento de inscribirte.","¿Puedo inscribirme a clases del fin de semana? Sí, hay materias disponibles los sábados. Verifica en la oferta académica al momento de inscribirte.",¿Puedo inscribirme a clases del fin de semana? horarios
¿Qué pasa si mi clase coincide con una actividad institucional?,horarios,Puedes solicitar justificación en coordinación académica y reprogramar tu clase si es necesario.,¿Qué pasa si mi clase coincide con una actividad institucional? Puedes solicitar justificación en coordinación académica y reprogramar tu clase si es necesario.,¿Qué pasa si mi clase coincide con una actividad institucional? horarios
¿Qué horario tienen las clases intensivas de verano?,horarios,Generalmente son de lunes a viernes de 8:00 a.m. a 12:00 p.m. Consulta tu facultad para casos específicos.,¿Qué horario tienen las clases intensivas de verano? Generalmente son de lunes a viernes de 8:00 a.m. a 12:00 p.m. Consulta tu facultad para casos específicos.,¿Qué horario tienen las clases intensivas de verano? horarios
¿Las clases virtuales pueden cambiar de horario?,horarios,"Sí, si el grupo y el docente están de acuerdo. Cualquier cambio debe registrarse formalmente.","¿Las clases virtuales pueden cambiar de horario? Sí, si el grupo y el docente están de acuerdo. Cualquier cambio debe registrarse formalmente.",¿Las clases virtuales pueden cambiar de horario? horarios
¿Puedo cambiar de grupo si el horario me genera conflicto?,horarios,"Sí, puedes solicitar el cambio durante la primera semana de clases, sujeto a disponibilidad de cupo.","¿Puedo cambiar de grupo si el horario me genera conflicto? Sí, puedes solicitar el cambio durante la primera semana de clases, sujeto a disponibilidad de cupo.",¿Puedo cambiar de grupo si el horario me genera conflicto? horarios
¿Dónde se publican los cambios de horario?,horarios,Los cambios oficiales se publican en el portal estudiantil y se notifican también por correo institucional.,¿Dónde se publican los cambios de horario? Los cambios oficiales se publican en el portal estudiantil y se notifican también por correo institucional.,¿Dónde se publican los cambios de horario? horarios
¿Qué pasa si un docente no asiste varias veces?,horarios,Informa a coordinación académica. Podrán reasignarte a otro grupo o ajustar el calendario de la clase.,¿Qué pasa si un docente no asiste varias veces? Informa a coordinación académica. Podrán reasignarte a otro grupo o ajustar el calendario de la clase.,¿Qué pasa si un docente no asiste varias veces? horarios
¿Cuándo se actualiza el horario definitivo del semestre?,horarios,"Durante la primera semana de clases, después de los ajustes por cambios de grupo o cancelaciones.","¿Cuándo se actualiza el horario definitivo del semestre? Durante la primera semana de clases, después de los ajustes por cambios de grupo o cancelaciones.",¿Cuándo se actualiza el horario definitivo del semestre? horarios
¿Qué hacer si dos clases que deseo inscribir se traslapan?,horarios,Debes elegir una de las dos o buscar un grupo alternativo para evitar conflictos en el horario.,¿Qué hacer si dos clases que deseo inscribir se traslapan? Debes elegir una de las dos o buscar un grupo alternativo para evitar conflictos en el horario.,¿Qué hacer si dos clases que deseo inscribir se traslapan? horarios
¿Cómo saber si mi inscripción tiene errores?,matriculas,"Debes revisar tu horario completo en el portal estudiantil. Si hay materias duplicadas o ausentes, repórtalo a servicios escolares.","¿Cómo saber si mi inscripción tiene errores? Debes revisar tu horario completo en el portal estudiantil. Si hay materias duplicadas o ausentes, repórtalo a servicios escolares.",¿Cómo saber si mi inscripción tiene errores? matriculas
¿Qué hacer si me equivoqué en el orden de inscripción?,matriculas,Puedes solicitar un ajuste dentro del periodo de modificaciones. Acude a coordinación académica lo antes posible.,¿Qué hacer si me equivoqué en el orden de inscripción? Puedes solicitar un ajuste dentro del periodo de modificaciones. Acude a coordinación académica lo antes posible.,¿Qué hacer si me equivoqué en el orden de inscripción? matriculas
¿Es posible hacer la inscripción con ayuda de un tutor?,matriculas,"Sí, si eres estudiante de primer ingreso puedes solicitar acompañamiento del tutor académico durante tu inscripción.","¿Es posible hacer la inscripción con ayuda de un tutor? Sí, si eres estudiante de primer ingreso puedes solicitar acompañamiento del tutor académico durante tu inscripción.",¿Es posible hacer la inscripción con ayuda de un tutor? matriculas
¿Qué pasa si inscribo una materia sin haber cursado el prerrequisito?,matriculas,El sistema no lo permitirá. Deberás cursar primero el prerrequisito y luego podrás inscribir la materia avanzada.,¿Qué pasa si inscribo una materia sin haber cursado el prerrequisito? El sistema no lo permitirá. Deberás cursar primero el prerrequisito y luego podrás inscribir la materia avanzada.,¿Qué pasa si inscribo una materia sin haber cursado el prerrequisito? matriculas
¿Puedo eliminar materias después de pagar?,matriculas,"Sí, durante la primera semana puedes solicitar ajuste. El reembolso está sujeto a las políticas de devolución institucional.","¿Puedo eliminar materias después de pagar? Sí, durante la primera semana puedes solicitar ajuste. El reembolso está sujeto a las políticas de devolución institucional.",¿Puedo eliminar materias después de pagar? matriculas
¿Dónde solicito inscripción condicional?,matriculas,La inscripción condicional debe tramitarse en coordinación académica y requiere una justificación válida aprobada por el comité de carrera.,¿Dónde solicito inscripción condicional? La inscripción condicional debe tramitarse en coordinación académica y requiere una justificación válida aprobada por el comité de carrera.,¿Dónde solicito inscripción condicional? matriculas
¿Puedo cambiar mi modalidad de estudio al inscribirme?,matriculas,"Sí, puedes cambiar de presencial a virtual o viceversa si hay cupo disponible. Solicítalo al momento de la inscripción.","¿Puedo cambiar mi modalidad de estudio al inscribirme? Sí, puedes cambiar de presencial a virtual o viceversa si hay cupo disponible. Solicítalo al momento de la inscripción.",¿Puedo cambiar mi modalidad de estudio al inscribirme? matriculas
¿Cómo saber si ya estoy inscrito oficialmente?,matriculas,"Cuando finalices tu proceso y recibas el comprobante de inscripción por correo institucional, estarás oficialmente inscrito.","¿Cómo saber si ya estoy inscrito oficialmente? Cuando finalices tu proceso y recibas el comprobante de inscripción por correo institucional, estarás oficialmente inscrito.",¿Cómo saber si ya estoy inscrito oficialmente? matriculas
¿Qué pasa si olvido realizar la inscripción?,matriculas,Tu estatus quedará como baja temporal. Deberás hacer un trámite de reincorporación para el próximo semestre.,¿Qué pasa si olvido realizar la inscripción? Tu estatus quedará como baja temporal. Deberás hacer un trámite de reincorporación para el próximo semestre.,¿Qué pasa si olvido realizar la inscripción? matriculas
¿Cuál es el plazo para modificar materias inscritas?,matriculas,Puedes hacer modificaciones durante la primera semana del semestre desde el portal o con autorización de coordinación.,¿Cuál es el plazo para modificar materias inscritas? Puedes hacer modificaciones durante la primera semana del semestre desde el portal o con autorización de coordinación.,¿Cuál es el plazo para modificar materias inscritas? matriculas
¿Es obligatorio inscribir materias optativas?,matriculas,"Sí, forman parte del plan de estudios. Debes cumplir con el número mínimo de créditos optativos exigido por tu programa.","¿Es obligatorio inscribir materias optativas? Sí, forman parte del plan de estudios. Debes cumplir con el número mínimo de créditos optativos exigido por tu programa.",¿Es obligatorio inscribir materias optativas? matriculas
¿Dónde encuentro el calendario oficial de inscripción?,matriculas,Está disponible en el portal institucional y se publica también en las redes oficiales de la universidad.,¿Dónde encuentro el calendario oficial de inscripción? Está disponible en el portal institucional y se publica también en las redes oficiales de la universidad.,¿Dónde encuentro el calendario oficial de inscripción? matriculas
¿Qué hacer si el sistema no carga al intentar inscribirme?,matriculas,"Prueba con otro navegador. Si persiste, toma captura de pantalla y contacta a soporte técnico institucional.","¿Qué hacer si el sistema no carga al intentar inscribirme? Prueba con otro navegador. Si persiste, toma captura de pantalla y contacta a soporte técnico institucional.",¿Qué hacer si el sistema no carga al intentar inscribirme? matriculas
¿La inscripción incluye el seguro estudiantil?,matriculas,"Sí, el valor del seguro está incluido en el monto total de inscripción. Consulta la póliza en el portal de servicios escolares.","¿La inscripción incluye el seguro estudiantil? Sí, el valor del seguro está incluido en el monto total de inscripción. Consulta la póliza en el portal de servicios escolares.",¿La inscripción incluye el seguro estudiantil? matriculas
¿Puedo reservar materias para el próximo semestre?,matriculas,"No, solo puedes inscribir materias en el periodo actual. Las reservas no están habilitadas en el sistema.","¿Puedo reservar materias para el próximo semestre? No, solo puedes inscribir materias en el periodo actual. Las reservas no están habilitadas en el sistema.",¿Puedo reservar materias para el próximo semestre? matriculas
¿Cómo recupero una inscripción cancelada por error?,matriculas,Debes solicitar la reactivación en servicios escolares. Presenta tu comprobante de intento y carta explicativa.,¿Cómo recupero una inscripción cancelada por error? Debes solicitar la reactivación en servicios escolares. Presenta tu comprobante de intento y carta explicativa.,¿Cómo recupero una inscripción cancelada por error? matriculas
¿Puedo inscribirme en prácticas profesionales durante el semestre?,matriculas,"Sí, siempre que estén programadas y aprobadas por tu tutor. Se inscriben como una materia adicional.","¿Puedo inscribirme en prácticas profesionales durante el semestre? Sí, siempre que estén programadas y aprobadas por tu tutor. Se inscriben como una materia adicional.",¿Puedo inscribirme en prácticas profesionales durante el semestre? matriculas
¿Es necesario firmar un acta de inscripción?,matriculas,"Sí, al finalizar el proceso debes firmar electrónicamente el acta digital que aparece en el portal estudiantil.","¿Es necesario firmar un acta de inscripción? Sí, al finalizar el proceso debes firmar electrónicamente el acta digital que aparece en el portal estudiantil.",¿Es necesario firmar un acta de inscripción? matriculas
¿Qué hacer si aparece una materia que no inscribí?,matriculas,Debes reportarlo a tu facultad inmediatamente para evitar responsabilidades académicas no deseadas.,¿Qué hacer si aparece una materia que no inscribí? Debes reportarlo a tu facultad inmediatamente para evitar responsabilidades académicas no deseadas.,¿Qué hacer si aparece una materia que no inscribí? matriculas
¿Puedo inscribirme si aún no tengo mi cédula?,matriculas,"Sí, puedes usar otro documento válido como pasaporte o tarjeta de identidad. Actualiza luego tu información.","¿Puedo inscribirme si aún no tengo mi cédula? Sí, puedes usar otro documento válido como pasaporte o tarjeta de identidad. Actualiza luego tu información.",¿Puedo inscribirme si aún no tengo mi cédula? matriculas
¿Cómo saber si cumplí con la carga mínima de créditos?,matriculas,El sistema te muestra un aviso si no alcanzas el mínimo. Asegúrate de inscribir suficientes materias.,¿Cómo saber si cumplí con la carga mínima de créditos? El sistema te muestra un aviso si no alcanzas el mínimo. Asegúrate de inscribir suficientes materias.,¿Cómo saber si cumplí con la carga mínima de créditos? matriculas
¿Qué materias debo priorizar en la inscripción?,matriculas,"Las reprobadas, los prerrequisitos y las correspondientes a tu semestre actual deben ser prioridad.","¿Qué materias debo priorizar en la inscripción? Las reprobadas, los prerrequisitos y las correspondientes a tu semestre actual deben ser prioridad.",¿Qué materias debo priorizar en la inscripción? matriculas
¿Puedo tomar materias de otra carrera?,matriculas,"Sí, si están abiertas como electivas generales. Consulta si hay cupo y si el docente lo autoriza.","¿Puedo tomar materias de otra carrera? Sí, si están abiertas como electivas generales. Consulta si hay cupo y si el docente lo autoriza.",¿Puedo tomar materias de otra carrera? matriculas
¿Qué sucede si curso más créditos de los permitidos?,matriculas,El sistema no lo permite automáticamente. Solo con autorización especial puedes sobrecargar tu inscripción.,¿Qué sucede si curso más créditos de los permitidos? El sistema no lo permite automáticamente. Solo con autorización especial puedes sobrecargar tu inscripción.,¿Qué sucede si curso más créditos de los permitidos? matriculas
¿Cuándo debo firmar el formato de inscripción?,matriculas,"Inmediatamente después de finalizar la selección de materias, en la plataforma institucional.","¿Cuándo debo firmar el formato de inscripción? Inmediatamente después de finalizar la selección de materias, en la plataforma institucional.",¿Cuándo debo firmar el formato de inscripción? matriculas
¿Puedo ver mi horario desde el celular?,horarios,"Sí, accede al portal estudiantil desde cualquier navegador móvil. Asegúrate de estar en versión actualizada.","¿Puedo ver mi horario desde el celular? Sí, accede al portal estudiantil desde cualquier navegador móvil. Asegúrate de estar en versión actualizada.",¿Puedo ver mi horario desde el celular? horarios
¿Qué hago si el horario se actualiza sin aviso?,horarios,Revisa el portal regularmente y activa notificaciones. También puedes consultar directamente a tu coordinación.,¿Qué hago si el horario se actualiza sin aviso? Revisa el portal regularmente y activa notificaciones. También puedes consultar directamente a tu coordinación.,¿Qué hago si el horario se actualiza sin aviso? horarios
¿El horario puede cambiar después del primer día?,horarios,"Sí, puede ajustarse por razones logísticas o por cambios de grupo. Confírmalo en tu facultad.","¿El horario puede cambiar después del primer día? Sí, puede ajustarse por razones logísticas o por cambios de grupo. Confírmalo en tu facultad.",¿El horario puede cambiar después del primer día? horarios
¿Hay un horario específico para tutorías?,horarios,"Sí, cada docente publica su horario de tutorías al inicio del semestre en el aula virtual.","¿Hay un horario específico para tutorías? Sí, cada docente publica su horario de tutorías al inicio del semestre en el aula virtual.",¿Hay un horario específico para tutorías? horarios
¿Puedo cambiar de turno si se libera un cupo?,horarios,"Sí, solicita el cambio en coordinación académica. Se otorga por orden de solicitud y disponibilidad.","¿Puedo cambiar de turno si se libera un cupo? Sí, solicita el cambio en coordinación académica. Se otorga por orden de solicitud y disponibilidad.",¿Puedo cambiar de turno si se libera un cupo? horarios
¿Los talleres extracurriculares afectan el horario regular?,horarios,"No, están programados fuera del horario de clases para evitar conflictos académicos.","¿Los talleres extracurriculares afectan el horario regular? No, están programados fuera del horario de clases para evitar conflictos académicos.",¿Los talleres extracurriculares afectan el horario regular? horarios
¿Cómo gestiono un horario personalizado?,horarios,Planifica tus materias en el simulador de horario disponible en el portal antes de confirmar inscripción.,¿Cómo gestiono un horario personalizado? Planifica tus materias en el simulador de horario disponible en el portal antes de confirmar inscripción.,¿Cómo gestiono un horario personalizado? horarios
¿Qué pasa si mi clase se cruza con otra obligatoria?,horarios,Solicita a tu coordinación un reacomodo o inscripción condicional con justificación académica.,¿Qué pasa si mi clase se cruza con otra obligatoria? Solicita a tu coordinación un reacomodo o inscripción condicional con justificación académica.,¿Qué pasa si mi clase se cruza con otra obligatoria? horarios
¿El horario incluye actividades deportivas?,horarios,"No, esas se programan aparte y son voluntarias. Consulta su calendario en la unidad de deportes.","¿El horario incluye actividades deportivas? No, esas se programan aparte y son voluntarias. Consulta su calendario en la unidad de deportes.",¿El horario incluye actividades deportivas? horarios
¿Cuándo puedo solicitar ajustes por motivos personales?,horarios,Durante la semana de ajustes puedes pedir cambios por razones personales con carta justificativa.,¿Cuándo puedo solicitar ajustes por motivos personales? Durante la semana de ajustes puedes pedir cambios por razones personales con carta justificativa.,¿Cuándo puedo solicitar ajustes por motivos personales? horarios
¿Cómo acceder al horario desde el correo institucional?,horarios,Accede al portal con tu cuenta institucional y entra a la sección 'Mi horario'.,¿Cómo acceder al horario desde el correo institucional? Accede al portal con tu cuenta institucional y entra a la sección 'Mi horario'.,¿Cómo acceder al horario desde el correo institucional? horarios
¿Puedo combinar clases presenciales y virtuales?,horarios,"Sí, si hay oferta híbrida. El sistema te permite combinar ambas si los horarios no se traslapan.","¿Puedo combinar clases presenciales y virtuales? Sí, si hay oferta híbrida. El sistema te permite combinar ambas si los horarios no se traslapan.",¿Puedo combinar clases presenciales y virtuales? horarios
¿Qué hacer si dos clases comienzan al mismo tiempo?,horarios,Debes inscribirte solo a una. Consulta si el otro grupo tiene horario alterno disponible.,¿Qué hacer si dos clases comienzan al mismo tiempo? Debes inscribirte solo a una. Consulta si el otro grupo tiene horario alterno disponible.,¿Qué hacer si dos clases comienzan al mismo tiempo? horarios
¿Cuántas horas semanales debo cumplir?,horarios,Depende de tu carga académica. Un semestre típico tiene entre 18 y 24 horas de clase semanales.,¿Cuántas horas semanales debo cumplir? Depende de tu carga académica. Un semestre típico tiene entre 18 y 24 horas de clase semanales.,¿Cuántas horas semanales debo cumplir? horarios
¿El sistema avisa de traslapes de horario?,horarios,"Sí, al momento de inscribir materias el sistema marca en rojo cualquier conflicto de horario.","¿El sistema avisa de traslapes de horario? Sí, al momento de inscribir materias el sistema marca en rojo cualquier conflicto de horario.",¿El sistema avisa de traslapes de horario? horarios
¿Hay horarios flexibles para estudiantes deportistas?,horarios,"Sí, pueden solicitar horarios adaptados si presentan constancia oficial del área de deportes.","¿Hay horarios flexibles para estudiantes deportistas? Sí, pueden solicitar horarios adaptados si presentan constancia oficial del área de deportes.",¿Hay horarios flexibles para estudiantes deportistas? horarios
¿Qué pasa si mi clase cambia de aula sin notificación?,horarios,Consulta en el aula virtual o tu correo. También puedes preguntar directamente en la facultad.,¿Qué pasa si mi clase cambia de aula sin notificación? Consulta en el aula virtual o tu correo. También puedes preguntar directamente en la facultad.,¿Qué pasa si mi clase cambia de aula sin notificación? horarios
¿Puedo modificar mi horario sin perder materias?,horarios,"Sí, durante la semana de ajustes puedes reacomodar tus grupos sin perder inscripción.","¿Puedo modificar mi horario sin perder materias? Sí, durante la semana de ajustes puedes reacomodar tus grupos sin perder inscripción.",¿Puedo modificar mi horario sin perder materias? horarios
¿Cómo consulto mi horario si no tengo internet?,horarios,Puedes solicitar una impresión física en coordinación académica o en servicios escolares.,¿Cómo consulto mi horario si no tengo internet? Puedes solicitar una impresión física en coordinación académica o en servicios escolares.,¿Cómo consulto mi horario si no tengo internet? horarios
¿Cómo afecta el cambio de horario a mis prácticas?,horarios,Debes avisar a tu tutor para reorganizar tu horario de prácticas y evitar conflictos.,¿Cómo afecta el cambio de horario a mis prácticas? Debes avisar a tu tutor para reorganizar tu horario de prácticas y evitar conflictos.,¿Cómo afecta el cambio de horario a mis prácticas? horarios
¿Cómo se asignan los grupos por horario?,horarios,El sistema asigna automáticamente según la disponibilidad y preferencia registrada en la inscripción.,¿Cómo se asignan los grupos por horario? El sistema asigna automáticamente según la disponibilidad y preferencia registrada en la inscripción.,¿Cómo se asignan los grupos por horario? horarios
¿Puedo tomar una clase más tarde por razones de transporte?,horarios,"Sí, puedes justificarlo y cambiar a un grupo con horario compatible si hay cupo.","¿Puedo tomar una clase más tarde por razones de transporte? Sí, puedes justificarlo y cambiar a un grupo con horario compatible si hay cupo.",¿Puedo tomar una clase más tarde por razones de transporte? horarios
¿Dónde consulto el horario de eventos institucionales?,horarios,En el calendario del portal institucional y las redes oficiales de la universidad.,¿Dónde consulto el horario de eventos institucionales? En el calendario del portal institucional y las redes oficiales de la universidad.,¿Dónde consulto el horario de eventos institucionales? horarios
¿Cómo saber si el horario es definitivo?,horarios,"Si ya pasó la semana de ajustes y no recibiste notificación, tu horario es definitivo.","¿Cómo saber si el horario es definitivo? Si ya pasó la semana de ajustes y no recibiste notificación, tu horario es definitivo.",¿Cómo saber si el horario es definitivo? horarios
¿Qué pasa si no tengo clases en un día completo?,horarios,Aprovecha ese día para actividades extracurriculares o tutorías. No se requiere inscripción diaria.,¿Qué pasa si no tengo clases en un día completo? Aprovecha ese día para actividades extracurriculares o tutorías. No se requiere inscripción diaria.,¿Qué pasa si no tengo clases en un día completo? horarios
¿Qué debo hacer si mi constancia de estudio tiene un error?,tramites,Debes acudir a servicios escolares con el documento y solicitar la corrección presentando tu identificación.,¿Qué debo hacer si mi constancia de estudio tiene un error? Debes acudir a servicios escolares con el documento y solicitar la corrección presentando tu identificación.,¿Qué debo hacer si mi constancia de estudio tiene un error? tramites
¿Cuánto tarda el trámite de revalidación de materias?,tramites,El proceso puede tardar entre 5 y 10 días hábiles desde la entrega completa de documentos en coordinación académica.,¿Cuánto tarda el trámite de revalidación de materias? El proceso puede tardar entre 5 y 10 días hábiles desde la entrega completa de documentos en coordinación académica.,¿Cuánto tarda el trámite de revalidación de materias? tramites
¿Dónde tramito un cambio de carrera?,tramites,Debes presentar la solicitud en servicios escolares junto con una carta de motivos y entrevista con el nuevo coordinador.,¿Dónde tramito un cambio de carrera? Debes presentar la solicitud en servicios escolares junto con una carta de motivos y entrevista con el nuevo coordinador.,¿Dónde tramito un cambio de carrera? tramites
¿Puedo solicitar mi historial académico en línea?,tramites,"Sí, accede al portal estudiantil y selecciona 'Historial académico'. Puedes descargarlo en PDF con tu usuario.","¿Puedo solicitar mi historial académico en línea? Sí, accede al portal estudiantil y selecciona 'Historial académico'. Puedes descargarlo en PDF con tu usuario.",¿Puedo solicitar mi historial académico en línea? tramites
¿Qué hacer si pierdo mi credencial institucional?,tramites,Solicita una reposición en servicios escolares. Debes presentar tu identificación y pagar el costo correspondiente.,¿Qué hacer si pierdo mi credencial institucional? Solicita una reposición en servicios escolares. Debes presentar tu identificación y pagar el costo correspondiente.,¿Qué hacer si pierdo mi credencial institucional? tramites
¿Cuándo se abren las solicitudes de grado?,tramites,Se habilitan al cierre de cada semestre. Consulta las fechas exactas en el portal institucional o coordinación de carrera.,¿Cuándo se abren las solicitudes de grado? Se habilitan al cierre de cada semestre. Consulta las fechas exactas en el portal institucional o coordinación de carrera.,¿Cuándo se abren las solicitudes de grado? tramites
¿Es posible tramitar documentos por correo electrónico?,tramites,"Sí, algunos documentos se pueden solicitar por correo institucional si previamente has autenticado tu identidad en el sistema.","¿Es posible tramitar documentos por correo electrónico? Sí, algunos documentos se pueden solicitar por correo institucional si previamente has autenticado tu identidad en el sistema.",¿Es posible tramitar documentos por correo electrónico? tramites
¿Qué hacer si tengo un trámite detenido?,tramites,Comunícate directamente con servicios escolares para verificar si falta algún documento o firma pendiente.,¿Qué hacer si tengo un trámite detenido? Comunícate directamente con servicios escolares para verificar si falta algún documento o firma pendiente.,¿Qué hacer si tengo un trámite detenido? tramites
¿Cómo solicito equivalencias de otra institución?,tramites,"Debes presentar el certificado oficial, contenidos programáticos y una carta dirigida al comité académico de tu facultad.","¿Cómo solicito equivalencias de otra institución? Debes presentar el certificado oficial, contenidos programáticos y una carta dirigida al comité académico de tu facultad.",¿Cómo solicito equivalencias de otra institución? tramites
¿Puedo autorizar a alguien para recoger mi título?,tramites,"Sí, mediante carta poder autenticada, copia de tu identificación y del autorizado.","¿Puedo autorizar a alguien para recoger mi título? Sí, mediante carta poder autenticada, copia de tu identificación y del autorizado.",¿Puedo autorizar a alguien para recoger mi título? tramites
¿Dónde puedo reportar daños en el mobiliario de un salón?,instalaciones,Dirígete al módulo de mantenimiento o envía una solicitud en línea desde el portal institucional.,¿Dónde puedo reportar daños en el mobiliario de un salón? Dirígete al módulo de mantenimiento o envía una solicitud en línea desde el portal institucional.,¿Dónde puedo reportar daños en el mobiliario de un salón? instalaciones
¿Las instalaciones deportivas están abiertas al público?,instalaciones,"No, solo pueden acceder estudiantes y personal con credencial vigente.","¿Las instalaciones deportivas están abiertas al público? No, solo pueden acceder estudiantes y personal con credencial vigente.",¿Las instalaciones deportivas están abiertas al público? instalaciones
